cui	term_type	omim_id
C0037231	PHENO	609523
C0037231	ACR	270200
C0085413	ACR	173900
C0085413	ET	173900
C0032460	ACR	184700
C0032460	ETAL	184700
C0032460	PT	184700
C0002895	PT	603903
C0002895	PHENO_ET	141900
C0026764	PT	254500
C0028754	PT	601665
C0028754	PHENO	155541
C0007196	PHENO_ET	561000
