id,identifier,id_type,struct_id,parent_match
1056675,DB00410,DRUGBANK_ID,1857,
1056676,DB00411,DRUGBANK_ID,488,
1056677,DB00412,DRUGBANK_ID,2405,
1056678,DB00413,DRUGBANK_ID,2233,
1056679,DB00414,DRUGBANK_ID,57,
1056680,DB00415,DRUGBANK_ID,198,
1056681,DB00416,DRUGBANK_ID,908,
1056682,DB00417,DRUGBANK_ID,2083,
1056683,DB00418,DRUGBANK_ID,2428,
1056684,DB00419,DRUGBANK_ID,1807,
1056685,DB00420,DRUGBANK_ID,2284,
1056686,DB00421,DRUGBANK_ID,2475,
1056687,DB00422,DRUGBANK_ID,1767,
1056688,DB00423,DRUGBANK_ID,1747,
1056689,DB00424,DRUGBANK_ID,1402,
1056690,DB00425,DRUGBANK_ID,2870,
1056691,DB00426,DRUGBANK_ID,1128,
1056692,DB00427,DRUGBANK_ID,2763,
1056693,DB00428,DRUGBANK_ID,2483,
1056694,DB00429,DRUGBANK_ID,502,
1056695,DB00430,DRUGBANK_ID,552,
1056696,DB00431,DRUGBANK_ID,1583,
1056697,DB00432,DRUGBANK_ID,2743,
1056698,DB00433,DRUGBANK_ID,2274,
1056699,DB00434,DRUGBANK_ID,765,
1056700,DB00435,DRUGBANK_ID,1948,
1056701,DB00436,DRUGBANK_ID,305,
1056702,DB00437,DRUGBANK_ID,124,
1056703,DB00438,DRUGBANK_ID,559,
1056704,DB00439,DRUGBANK_ID,577,
1056705,DB00440,DRUGBANK_ID,2755,
1056706,DB00441,DRUGBANK_ID,1283,
1056707,DB00442,DRUGBANK_ID,1019,
1056708,DB00443,DRUGBANK_ID,348,
1056709,DB00444,DRUGBANK_ID,2590,
1056710,DB00445,DRUGBANK_ID,1030,
1056711,DB00446,DRUGBANK_ID,589,
1056712,DB00447,DRUGBANK_ID,1603,
1056713,DB00448,DRUGBANK_ID,1547,
1056714,DB00449,DRUGBANK_ID,922,
1056715,DB00450,DRUGBANK_ID,966,
1056716,DB00451,DRUGBANK_ID,2646,
1056717,DB00452,DRUGBANK_ID,1896,
1056718,DB00453,DRUGBANK_ID,702,
1056719,DB00454,DRUGBANK_ID,1690,
1056720,DB00455,DRUGBANK_ID,1605,
1056721,DB00456,DRUGBANK_ID,574,
1056722,DB00457,DRUGBANK_ID,4209,
1056723,DB00458,DRUGBANK_ID,1427,
1056724,DB00459,DRUGBANK_ID,78,
1056725,DB00460,DRUGBANK_ID,2816,
1056726,DB00461,DRUGBANK_ID,1863,
1056727,DB00462,DRUGBANK_ID,1757,
1056728,DB00463,DRUGBANK_ID,1740,
1056729,DB00464,DRUGBANK_ID,3550,
1056730,DB00465,DRUGBANK_ID,1529,
1056731,DB00466,DRUGBANK_ID,2162,
1056732,DB00467,DRUGBANK_ID,1013,
1056733,DB00468,DRUGBANK_ID,4523,
1056734,DB00469,DRUGBANK_ID,2595,
1056735,DB00470,DRUGBANK_ID,4109,
1056736,DB00471,DRUGBANK_ID,1836,
1056737,DB00472,DRUGBANK_ID,1209,
1056738,DB00473,DRUGBANK_ID,1373,
1056739,DB00474,DRUGBANK_ID,1748,
1056740,DB00475,DRUGBANK_ID,594,
1056741,DB00476,DRUGBANK_ID,972,
1056742,DB00477,DRUGBANK_ID,621,
1056743,DB00478,DRUGBANK_ID,2383,
1056744,DB00479,DRUGBANK_ID,157,
1056745,DB00480,DRUGBANK_ID,3317,
1056746,DB00481,DRUGBANK_ID,2351,
1056747,DB00482,DRUGBANK_ID,568,
1056748,DB00483,DRUGBANK_ID,1273,
1056749,DB00484,DRUGBANK_ID,395,
1056750,DB00485,DRUGBANK_ID,866,
1056751,DB00486,DRUGBANK_ID,1862,
1056752,DB00487,DRUGBANK_ID,2071,
1056753,DB00488,DRUGBANK_ID,141,
1056754,DB00489,DRUGBANK_ID,2464,
1056755,DB00490,DRUGBANK_ID,437,
