hgnc_id	symbol	status	entrez_id
25844	ZMAT4	Approved	79698.0
28046	ZMAT5	Approved	55954.0
16493	ZMIZ1	Approved	57178.0
27433	ZMIZ1-AS1	Approved	283050.0
22229	ZMIZ2	Approved	83637.0
12877	ZMPSTE24	Approved	10269.0
26253	ZMYM1	Approved	79830.0
12989	ZMYM2	Approved	7750.0
39936	ZMYM2-IT1	Entry Withdrawn	
13054	ZMYM3	Approved	9203.0
13055	ZMYM4	Approved	9202.0
40624	ZMYM4-AS1	Approved	100861513.0
13029	ZMYM5	Approved	9205.0
39911	ZMYM5-AS1	Entry Withdrawn	
13050	ZMYM6	Approved	9204.0
9397	ZMYND8	Approved	23613.0
19412	ZMYND10	Approved	51364.0
40890	ZMYND10-AS1	Approved	100874210.0
16966	ZMYND11	Approved	10771.0
21192	ZMYND12	Approved	84217.0
20997	ZMYND15	Approved	84225.0
21146	ZMYND19	Approved	116225.0
44540	ZMYND19P1	Approved	100421055.0
12878	ZNF1	Entry Withdrawn	
12991	ZNF2	Approved	7549.0
13089	ZNF3	Approved	7551.0
13139	ZNF7	Approved	7553.0
13154	ZNF8	Approved	7554.0
12879	ZNF10	Approved	7556.0
12902	ZNF12	Approved	7559.0
12924	ZNF14	Approved	7561.0
12946	ZNF15L2	Entry Withdrawn	
12947	ZNF16	Approved	7564.0
12958	ZNF17	Approved	7565.0
12969	ZNF18	Approved	7566.0
12981	ZNF19	Approved	7567.0
12992	ZNF20	Approved	7568.0
13012	ZNF22	Approved	7570.0
13023	ZNF23	Approved	7571.0
13032	ZNF24	Approved	7572.0
13043	ZNF25	Approved	219749.0
13053	ZNF26	Approved	7574.0
13073	ZNF28	Approved	7576.0
13080	ZNF29P	Approved	7577.0
13090	ZNF30	Approved	90075.0
51179	ZNF30-AS1	Approved	102723513.0
13095	ZNF32	Approved	7580.0
23577	ZNF32-AS1	Approved	414197.0
23593	ZNF32-AS2	Approved	414208.0
23583	ZNF32-AS3	Approved	414201.0
